Constituency,Region,Con,Lab,UKIP,LD,SNP,Grn,DUP,PC,SF,UUP,SDLP,Alliance,Ind,Spk,Others,ValidVotes,WinningParty,SecondPlace,WinningVotes,SecondPlaceVotes,WinningPct,Majority,MajorityPct,TurnoutPct2015,RemainPct,LeavePct,LeaveMajority,2017_winner
Aberavon,Wales,3742.0,15416.0,4971.0,1397.0,,711.0,,3663.0,,,,,1137.0,,486.0,31523,Labour,UKIP,15416,4971,48.9,10445,33.13,63.3,40.1,59.9,19.8,Labour
Aberconwy,Wales,12513.0,8514.0,3467.0,1391.0,,727.0,,3536.0,,,,,,,,30148,Conservative,Labour,12513,8514,39.69,3999,13.26,66.2,46.7,53.3,6.6,Conservative
Aberdeen North,Scotland,5304.0,11397.0,,2050.0,24793.0,,,,,,,,,,392.0,43936,SNP,Labour,24793,11397,56.43,13396,30.49,64.9,57.0,43.0,-14.0,SNP
Aberdeen South,Scotland,11087.0,12991.0,897.0,2252.0,20221.0,964.0,,,,,,,139.0,,,48551,SNP,Labour,20221,12991,41.65,7230,14.89,71.3,67.7,32.3,-35.4,Conservative
Airdrie and Shotts,Scotland,3389.0,15108.0,1088.0,678.0,23887.0,,,,,,,,136.0,,,44286,SNP,Labour,23887,15108,53.94,8779,19.82,66.4,60.0,40.0,-20.0,SNP
Aldershot,South East England,23369.0,8468.0,8253.0,4076.0,,2025.0,,,,,,,,,,46191,Conservative,Labour,23369,8468,50.59,14901,32.26,63.8,41.8,58.2,16.4,Conservative
Aldridge-Brownhills,West Midlands,20558.0,8835.0,7751.0,1330.0,,826.0,,,,,,,,,197.0,39497,Conservative,Labour,20558,8835,52.05,11723,29.68,65.6,32.2,67.8,35.6,Conservative
Altrincham and Sale West,North West England,26771.0,13481.0,4047.0,4235.0,,1983.0,,,,,,,,,,50517,Conservative,Labour,26771,13481,52.99,13290,26.31,70.2,61.6,38.4,-23.2,Conservative
Alyn and Deeside,Wales,13197.0,16540.0,7260.0,1733.0,,976.0,,1608.0,,,,,,,,41314,Labour,Conservative,16540,13197,40.03,3343,8.09,66.6,42.3,57.7,15.4,Labour
Amber Valley,East Midlands,20106.0,15901.0,7263.0,1360.0,,1087.0,,,,,,,,,,45717,Conservative,Labour,20106,15901,43.98,4205,9.2,65.1,34.7,65.3,30.6,Conservative
